A,B
200,0.00017114297
400,0.00041808736999999997
600,0.00094731535
800,0.00178973311
1000,0.002609879205
1200,0.0038914623900000007
1400,0.005992993634999999
1600,0.0121461998
1800,0.017435748635
2000,0.022391717780000008
2200,0.034881832105
2400,0.041492502675
2600,0.048370436424999996
2800,0.055524779885
3000,0.07392179605
3200,0.07434254568500001
3400,0.09759643585
3600,0.11162370748
3800,0.11837571764000002
4000,0.152250274215
4200,0.156760960605
4400,0.17451925075
4600,0.16792610830000004
4800,0.20675334620500008
5000,0.22495658462499993
5200,0.25372396143
5400,0.25650409285000003
5600,0.3240115026249999
5800,0.30317542221500005
6000,0.364820929855
6200,0.37956046062
6400,0.4064916255549999
6600,0.429193969685
6800,0.46208530374499995
7000,0.46534986663500005
7200,0.5119717080799999
7400,0.48747311282499983
