A,B
100,0.0008282792899999999
200,0.009330242909999998
300,0.020486039964999998
400,0.051113624435
500,0.07780152252499999
600,0.097505040695
700,0.163078230895
800,0.24461867154999997
900,0.30180660581499996
1000,0.31348771773499995
1100,0.7104201351500001
1200,0.7948492303550002
1300,1.033557344245
1400,1.6467017552099998
1500,2.2019833162699998
1600,2.016266572145
1700,3.080938152730001
1800,3.6817410446000003
1900,4.140442475050001
2000,5.25394722636
2100,5.619103045555001
2200,7.368216287244999
2300,7.597978596585001
2400,8.370760305220001
2500,11.299025219775
2600,12.369637307344998
2700,12.662148004845
2800,13.683800836809999
2900,16.19214806058
3000,15.48348595581
3100,18.103537793944994
3200,22.542482486215004
3300,25.94649678422
3400,28.45530822054
3500,31.963741769705003
3600,32.71989652769
3700,32.967442918405006
3800,37.51189965488001
3900,54.576921543585
4000,57.6672244082
4100,65.36526391133499
4200,63.28483193999
4300,67.56250103788
4400,72.16803755668
4500,98.03828524705996
4600,98.99020013757999
4700,100.41071313378501
4800,103.272593081115
4900,108.840288928015
5000,105.68733271799003
5100,123.24501370702
5200,122.81571966829001
5300,156.097887687365
5400,162.825102613135
5500,133.12430156451998
5600,78.72173930756499
5700,45.442393512215006
5800,46.649358742815004
5900,49.82012162657501
6000,52.062965954545
6100,54.68377757972
6200,57.160261637845004
6300,59.828299387125
6400,62.388866057570006
6500,66.24762872600999
6600,69.36667894841001
6700,72.36365566689501
6800,74.48722556381
6900,79.52532030213501
7000,81.29050544587001
7100,85.79722384171498
7200,88.67609989982002
7300,93.62076074097
