A,B
100,0.0007915514750000001
200,0.00320975425
300,0.008399101084999997
400,0.014169726525000002
500,0.025862285515
600,0.03542574117
700,0.05152685916000002
800,0.080146328845
900,0.11037403359499999
1000,0.16169496042000003
1100,0.22908341297500004
1200,0.32656169290000003
1300,0.46377967498000006
1400,0.6077379264150001
1500,0.7910863173499999
1600,1.021401753485
1700,1.349975680885
1800,2.118249524535
1900,2.5099795409149994
2000,3.2881626529599997
2100,3.765487383534999
2200,4.704589449799999
2300,5.554031489915001
2400,5.968212896085001
2500,6.821917579055
2600,8.257649173464998
2700,8.68624484773
2800,10.054144738440002
2900,10.967342243589998
3000,12.522894437915001
3100,14.059225948964997
3200,15.041099385375
3300,16.78197411711
3400,18.693098263299998
3500,20.134104871065002
3600,21.522340167775
3700,24.101147073815
3800,25.450210138944996
3900,27.712380340009997
4000,29.89996765297
4100,33.617690718885
4200,35.452584496094985
4300,38.288754234935
4400,40.229161703379994
4500,43.58199480310999
4600,44.563488388850004
4700,49.064955704780004
4800,52.99730631089501
4900,57.303032652789994
5000,60.03327001002001
5100,63.2118518337
5200,66.802428754155
5300,71.55113456728
5400,75.34424078716499
5500,79.65691874640501
5600,82.27020409457998
5700,86.79146017995998
5800,91.56384460216998
5900,98.08989487793998
6000,101.32108491913
6100,105.99076311439501
6200,113.22754330072499
6300,119.28827482241496
6400,123.67792326586003
6500,131.51821397243
6600,136.48746044893
6700,144.270649888145
6800,149.184771872035
6900,158.854111094015
7000,162.01934431904
7100,169.08293427919492
7200,175.30285972877
7300,185.14173891791495
7400,193.41639632692997
7500,198.315289811005
7600,207.685057856085
