A,B
100,0.00039025921500000007
200,0.0009611111200000001
300,0.003931640985
400,0.005458113265
500,0.009616615940000002
600,0.015353475474999998
700,0.019384108860000002
800,0.024728318295000006
900,0.035889182845
1000,0.04281301230499999
1100,0.03841283417500001
1200,0.06841077014000002
1300,0.07989356675499999
1400,0.08706530633499998
1500,0.09518452562000002
1600,0.108199712605
1700,0.13298364664999998
1800,0.13547797363
1900,0.16082566900999995
2000,0.17597836322500002
2100,0.19352183296499997
2200,0.20697925001999998
2300,0.25804698367000006
2400,0.23498521555
2500,0.266558431045
2600,0.31502040589
2700,0.34159130673000004
2800,0.34282086699000003
2900,0.38879009304000006
3000,0.4250953474949999
3100,0.41138214518000005
3200,0.4243076247900001
3300,0.46697644931000004
3400,0.5084315381600001
3500,0.5960506432949999
3600,0.568137968165
3700,0.651639254215
3800,0.6558704581849999
3900,0.7231429608550002
4000,0.666685037985
4100,0.7953040596399998
4200,0.8536341141400002
4300,0.7580586468649999
4400,0.9430225569200001
4500,0.936564762275
4600,1.0155851515950003
4700,1.05578032233
4800,1.0973313891299998
4900,1.1068736192300002
5000,1.2252736645599998
5100,1.2416595991449997
5200,1.30026609942
5300,1.3371026201800005
5400,1.3065158484299997
5500,1.3475301468199996
5600,1.5995427124899997
5700,1.4488750431250004
5800,1.5644577153099997
5900,1.7299715066849999
6000,1.6675774360999998
6100,1.69378715608
6200,1.8036259859850003
6300,1.42118029372
6400,1.520250909405
6500,1.6048970555349995
6600,1.7004067023450002
6700,1.696789745945
6800,1.79392375587
6900,1.8491984962100003
7000,1.936529512395
7100,2.0043365567800002
7200,1.9920371205099996
7300,1.9992423172849996
7400,2.1916826116999997
7500,2.143493278055
7600,2.1820538172749995
7700,2.217905495625
7800,1.8372841903700003
