A,B
100,0.00025073850000000003
200,0.0006333187450000001
300,0.0009283391899999999
400,0.00183287281
500,0.005452585185000001
600,0.0031051765799999997
700,0.004327208055000001
800,0.005815504320000001
900,0.006829637944999999
1000,0.010453175245
1100,0.015130904564999999
1200,0.018966830875000004
1300,0.02391150927
1400,0.028868574125
1500,0.03405205524
1600,0.0433207534
1700,0.05376571162
1800,0.07705494494000001
1900,0.082661452805
2000,0.10457386675499998
2100,0.11191672286000001
2200,0.13267404672
2300,0.15496344182999996
2400,0.154181240795
2500,0.16936087991000007
2600,0.21089263792999996
2700,0.20226240003499998
2800,0.21915083536500002
2900,0.24550842489999997
3000,0.26637111410500003
3100,0.283389791895
3200,0.298555449785
3300,0.316340194135
3400,0.33805006906
3500,0.399961763105
3600,0.4589048519799999
3700,0.459087946095
3800,0.52371645016
3900,0.520968341545
4000,0.5491711830849999
4100,0.62017927798
4200,0.613790730455
4300,0.6126185121500001
4400,0.67867104245
4500,0.690374835385
4600,0.7224406706700002
4700,0.7676170750000001
4800,0.7906398327349998
4900,0.81357483377
5000,0.84645576098
5100,0.8602518231050001
5200,0.92630274481
5300,0.9215003774299998
5400,1.013889045185
5500,1.0283079407000002
5600,1.0626365085800002
5700,1.059820432075
5800,1.126750174055
5900,1.142792505225
6000,1.1921565299399999
6100,1.1934102149399999
6200,1.2764089001899999
6300,1.3040070124299998
6400,1.3531523213050003
6500,1.3856080191050006
6600,1.5017747938799997
6700,1.4907772207500003
6800,1.4956038818050001
6900,1.541824068225
7000,1.5335559380550003
7100,1.6432806771050001
7200,1.7230914233949997
7300,1.7284718982849996
7400,1.7258312689599997
7500,1.85495151238
7600,1.7555184760950002
7700,1.9731165145250003
7800,1.926615244235
