A,B
100,4.045
200,3.63
300,3.39
400,3.245
500,3.25
600,3.22
700,3.165
800,3.115
900,3.13
1000,3.135
1100,3.145
1200,3.08
1300,3.07
1400,3.05
1500,3.045
1600,3.03
1700,3.055
1800,3.065
1900,3.01
2000,3.065
2100,3.015
2200,3.03
2300,3.045
2400,3.07
2500,3.02
2600,3.015
2700,3.015
2800,3.01
2900,3.02
3000,3.01
3100,3.015
3200,3.005
3300,3.015
3400,3.01
3500,3.01
3600,3.005
3700,3.01
3800,3.015
3900,3.02
4000,3.005
4100,3.005
4200,3.005
4300,3.01
4400,3.0
4500,3.01
4600,3.005
4700,3.005
4800,3.005
4900,3.01
5000,3.005
5100,3.005
5200,3.01
5300,3.0
5400,3.01
5500,3.01
5600,3.0
5700,3.005
5800,3.005
5900,3.01
6000,3.005
6100,3.0
6200,2.995
6300,3.01
6400,3.01
6500,3.01
6600,3.005
6700,3.0
6800,3.0
6900,3.005
7000,3.0
7100,3.0
7200,3.0
7300,3.01
7400,3.0
7500,3.005
7600,3.0
